small_area,total_value_mGBP
E01000210,14.07536452
E01000211,0.400450271
E01000212,9.44869681
E01000213,21.30234892
E01000214,3.554427136
E01000215,1.88055238
E01000216,5.182918039
E01000217,6.652805583
E01000218,3.683922348
E01000219,2.836458016
E01000220,1.519284214
E01000221,0.154115703
E01000222,2.984402284
E01000223,2.66077304
E01000224,3.242519263
E01000225,4.948368578
E01000226,2.053203899
E01000227,5.306106588
E01000228,10.04476078
E01000229,3.099236365
E01000230,4.681796415
E01000231,3.414394761
E01000232,5.147084906
E01000233,4.174042441
E01000234,3.703172499
E01000235,2.452535597
E01000236,2.073802479
E01000237,2.460277557
E01000238,3.244806724
E01000239,2.483253686
E01000240,5.793021295
E01000241,3.49946658
E01000242,3.940955302
E01000243,2.004940359
E01000244,0.644921664
E01000245,-0.020565203
E01000246,5.29124339
E01000247,2.632326186
E01000248,4.777809893
E01000249,11.78919512
E01000250,3.472456019
E01000251,3.012981397
E01000252,2.368229867
E01000253,45.07645451
E01000254,7.196781606
E01000255,4.998071018
E01000256,5.346931482
E01000257,3.040961125
E01000258,7.2862253
E01000259,4.770483651
E01000260,2.992974422
E01000261,15.35687408
E01000263,27.85569752
E01000264,3.849485015
E01000265,2.692786603
E01000266,12.23095026
E01000267,10.8666911
E01000268,2.614049744
E01000269,5.601271814
E01000270,4.292156711
E01000271,12.31220112
E01000272,23.55554649
E01000273,2.594726179
E01000274,3.879809567
E01000275,3.01710885
E01000276,12.49690136
E01000277,2.013828983
E01000278,11.80952879
E01000279,15.32425595
E01000280,23.04488556
E01000281,3.431513295
E01000282,6.325240499
E01000283,12.43559629
E01000284,2.632824578
E01000285,2.385166699
E01000286,3.552208782
E01000287,3.335957696
E01000288,3.480380316
E01000289,1.166131231
E01000290,11.21047493
E01000291,2.22553539
E01000292,5.320906117
E01000293,6.878965773
E01000294,4.159170083
E01000295,5.29601784
E01000296,2.857901481
E01000297,2.289007839
E01000298,3.453779206
E01000299,1.892594172
E01000300,2.647006608
E01000301,10.13052268
E01000302,0.543521525
E01000303,6.560565564
E01000304,4.063585425
E01000305,1.569128182
E01000306,2.538045738
E01000307,2.444871439
E01000308,2.332757254
E01000309,4.782313767
E01000310,1.367970861
E01000311,14.40641923
E01000312,1.849587233
E01000313,1.179481789
